name,description,price,sku
Monitor LG 27",Monitor 4K UHD de 27 pulgadas,399.99,MON-001
Teclado Mecánico,Teclado mecánico RGB con switches Cherry MX,149.99,KEY-001
Mouse Logitech MX,Mouse inalámbrico de alta precisión,79.99,MOUSE-001
Webcam HD,Webcam 1080p con micrófono integrado,89.99,CAM-001
Auriculares Sony,Auriculares con cancelación de ruido,299.99,AUD-001
Laptop Dell XPS 15,Laptop profesional de alto rendimiento con procesador Intel i7,1299.99,LAPTOP-001
Tablet iPad Pro,Tablet de 12.9 pulgadas con Apple Pencil,999.99,TAB-001
Impresora HP LaserJet,Impresora láser monocromática de alta velocidad,249.99,PRINT-001
Router WiFi 6,Router de alta velocidad con tecnología WiFi 6,179.99,ROUTER-001
Disco Duro Externo 2TB,Almacenamiento portátil de 2TB USB 3.0,89.99,HDD-001
